project_id,name,developer,district,city,handover,price_from,price_per_m2,status,url,listing_urls
prj5107,The One Sai Gon,Công Ty CP ĐT Địa Ốc Bến Thành,Quận 1,TPHCM,,,,Đang bán,https://mogi.vn/the-one-sai-gon-prj5107,https://mogi.vn/ho-chi-minh/quan-1/mua-nha-dat/the-one-sai-gon-prj5107
prj5113,M-One Quận 7,CÔNG TY CỔ PHẦN ĐẦU TƯ THẢO ĐIỀN,Quận 7,TPHCM,2017,Từ 2 tỷ 184 triệu,39 - 43 triệu/m2,Đang bán,https://mogi.vn/m-one-nam-sai-gon-prj5113,https://mogi.vn/ho-chi-minh/quan-7/mua-nha-dat/m-one-nam-sai-gon-prj5113
prj5114,Centa Park Tân Bình,Công ty Xuất Nhập Khẩu Thủy sản Sài Gòn SEAPRODEX SÀI GÒN,Quận Tân Bình,TPHCM,2018,Từ 1 tỷ 7 triệu,19 - 22 triệu/m2,Đang bán,https://mogi.vn/centa-park-tan-binh-prj5114,https://mogi.vn/ho-chi-minh/quan-tan-binh/mua-nha-dat/centa-park-tan-binh-prj5114
prj5115,Nam Phát Riverside,Cty TNHH sản xuất kinh doanh Hai Thành,Quận 8,TPHCM,2015,,,,https://mogi.vn/nam-phat-riverside-prj5115,
prj5120,Jamona Apartment,TTC Land,Quận 7,TPHCM,2018,Từ 132 triệu,2 - 2 triệu/m2,Đang bán,https://mogi.vn/jamona-apartment-prj5120,https://mogi.vn/ho-chi-minh/quan-7/mua-nha-dat/jamona-apartment-prj5120
prj5121,Khu dân cư Gia Cát,Công ty Cổ phần Kiến Á,Quận 2 (TP. Thủ Đức),TPHCM,2016,,,Cho thuê,https://mogi.vn/khu-dan-cu-gia-cat-prj5121,https://mogi.vn/ho-chi-minh/quan-2/thue-nha-dat/khu-dan-cu-gia-cat-prj5121
prj5129,LAVIDA PLUS,Công ty Cổ Phần Quốc Cường Gia Lai,Quận 7,TPHCM,2019,Từ 1 tỷ 749 triệu,33 - 40 triệu/m2,Đang bán; Cho thuê,https://mogi.vn/lavida-plus-prj5129,https://mogi.vn/ho-chi-minh/quan-7/mua-nha-dat/lavida-plus-prj5129; https://mogi.vn/ho-chi-minh/quan-7/thue-nha-dat/lavida-plus-prj5129
prj5132,Rivergate Residence,Novaland Group,Quận 4,TPHCM,2017,Từ 3 tỷ 808 triệu,68 - 70 triệu/m2,Cho thuê,https://mogi.vn/river-gate-residence-prj5132,https://mogi.vn/ho-chi-minh/quan-4/thue-nha-dat/river-gate-residence-prj5132
prj5133,Saroma Villa,Công ty Cổ phần Đầu tư Địa ốc Đại Quang Minh,Quận 2 (TP. Thủ Đức),TPHCM,2017,,,Đang bán; Cho thuê,https://mogi.vn/saroma-villa-saroma-villa-prj5133,https://mogi.vn/ho-chi-minh/quan-2/mua-nha-dat/saroma-villa-saroma-villa-prj5133; https://mogi.vn/ho-chi-minh/quan-2/thue-nha-dat/saroma-villa-saroma-villa-prj5133
prj5135,Bella Vida,CÔNG TY CỔ PHẦN ĐẦU TƯ THỦ THIÊM,Quận 2 (TP. Thủ Đức),TPHCM,,,,,https://mogi.vn/bella-vida-prj5135,
prj5136,The Green View,Công ty TNHH MTV Xây dựng Thương mại Sài Gòn 5,Quận 8,TPHCM,2016,Từ 1 tỷ 450 triệu,19 triệu/m2,Đang bán,https://mogi.vn/the-green-view-prj5136,https://mogi.vn/ho-chi-minh/quan-8/mua-nha-dat/the-green-view-prj5136
prj5141,Rio Grande,công ty TNHH Xây dựng & Kinh doanh nhà Điền Phúc Thành,Quận 9 (TP. Thủ Đức),TPHCM,2016,Từ 891 triệu,16 - 25 triệu/m2,Đang bán,https://mogi.vn/rio-grande-prj5141,https://mogi.vn/ho-chi-minh/quan-9/mua-nha-dat/rio-grande-prj5141
prj5142,Landmark 81,Tập Đoàn Vingroup - Công ty CP,Quận Bình Thạnh,TPHCM,2018,Từ 6 tỷ 204 triệu,114 - 196 triệu/m2,Đang bán,https://mogi.vn/landmark-81-prj5142,https://mogi.vn/ho-chi-minh/quan-binh-thanh/mua-nha-dat/landmark-81-prj5142
